time,ax,ay,az,wx,wy,wz,activity Label,activity
0.0,-0.9522705078125,-0.1451416015625,-0.30517578125,-7.987804878048781,1.707317073170732,2.439024390243903,7,Drawer
0.001,-0.927978515625,-0.1453857421875,-0.304443359375,-8.78048780487805,1.7682926829268295,1.676829268292683,7,Drawer
0.001,-0.9296875,-0.14599609375,-0.303466796875,-9.115853658536587,0.9756097560975611,1.9207317073170733,7,Drawer
0.002,-0.924560546875,-0.1492919921875,-0.303955078125,-9.420731707317074,0.853658536585366,1.707317073170732,7,Drawer
0.016,-0.9249267578125,-0.15234375,-0.3009033203125,-8.932926829268293,1.6158536585365855,1.0060975609756098,7,Drawer
0.017,-0.9300537109375,-0.1510009765625,-0.3021240234375,0.2134146341463415,1.4329268292682928,0.27439024390243905,7,Drawer
0.018,-0.92822265625,-0.1502685546875,-0.3023681640625,0.3353658536585366,0.48780487804878053,0.24390243902439027,7,Drawer
0.019,-0.922119140625,-0.1480712890625,-0.30419921875,0.30487804878048785,0.5487804878048781,-8.01829268292683,7,Drawer
0.019,-0.922607421875,-0.1480712890625,-0.3033447265625,0.15243902439024393,1.3719512195121952,-8.567073170731708,7,Drawer
0.112,-0.92333984375,-0.1478271484375,-0.3023681640625,-8.079268292682928,1.3109756097560976,-8.353658536585366,7,Drawer
0.113,-0.923095703125,-0.1495361328125,-0.30224609375,-8.323170731707318,1.2804878048780488,-8.231707317073171,7,Drawer
0.114,-0.9229736328125,-0.150390625,-0.302978515625,-8.292682926829269,1.676829268292683,-8.231707317073171,7,Drawer
0.115,-0.9244384765625,-0.1505126953125,-0.304443359375,-8.231707317073171,1.8597560975609757,-8.323170731707318,7,Drawer
0.116,-0.92626953125,-0.1500244140625,-0.3048095703125,-8.292682926829269,1.7987804878048783,-8.109756097560977,7,Drawer
0.206,-0.926025390625,-0.150146484375,-0.3057861328125,-8.353658536585366,1.5548780487804879,0.15243902439024393,7,Drawer
0.207,-0.925048828125,-0.1500244140625,-0.3060302734375,-8.445121951219512,1.4939024390243905,0.7926829268292683,7,Drawer
0.208,-0.923828125,-0.149169921875,-0.3062744140625,-8.506097560975611,1.5853658536585367,1.25,7,Drawer
0.209,-0.9244384765625,-0.1490478515625,-0.30615234375,-8.810975609756099,1.7378048780487807,1.6158536585365855,7,Drawer
0.302,-0.9251708984375,-0.1490478515625,-0.305908203125,-8.932926829268293,1.707317073170732,1.8597560975609757,7,Drawer
0.303,-0.9234619140625,-0.1484375,-0.3052978515625,-8.902439024390244,1.3414634146341464,2.164634146341464,7,Drawer
0.304,-0.9228515625,-0.1492919921875,-0.3057861328125,-8.78048780487805,1.4939024390243905,2.073170731707317,7,Drawer
0.305,-0.9244384765625,-0.1480712890625,-0.3067626953125,-8.292682926829269,1.981707317073171,2.0426829268292686,7,Drawer
0.306,-0.92431640625,-0.1468505859375,-0.306640625,-8.323170731707318,2.0426829268292686,1.8597560975609757,7,Drawer
0.396,-0.925537109375,-0.1473388671875,-0.3094482421875,-8.75,2.25609756097561,1.2195121951219514,7,Drawer
0.397,-0.9295654296875,-0.15087890625,-0.3077392578125,-9.146341463414634,1.6158536585365855,0.701219512195122,7,Drawer
0.398,-0.9315185546875,-0.1500244140625,-0.305908203125,-8.01829268292683,-8.231707317073171,0.15243902439024393,7,Drawer
0.4,-0.928466796875,-0.148681640625,-0.3056640625,-7.957317073170732,-9.786585365853659,0.1829268292682927,7,Drawer
0.401,-0.952392578125,-0.1475830078125,-0.3067626953125,0.6097560975609757,-9.542682926829269,0.7621951219512195,7,Drawer
0.491,-0.9527587890625,-0.144775390625,-0.3057861328125,0.6402439024390244,0.15243902439024393,0.9451219512195123,7,Drawer
0.491,-0.926025390625,-0.143310546875,-0.305419921875,0.48780487804878053,1.4634146341463417,1.9207317073170733,7,Drawer
0.492,-0.92431640625,-0.14306640625,-0.3060302734375,0.030487804878048783,1.128048780487805,2.682926829268293,7,Drawer
0.492,-0.9522705078125,-0.142822265625,-0.306884765625,-8.597560975609756,1.2195121951219514,2.3170731707317076,7,Drawer
0.496,-0.9234619140625,-0.143798828125,-0.3057861328125,-9.176829268292684,1.524390243902439,1.5853658536585367,7,Drawer
0.586,-0.928955078125,-0.1446533203125,-0.30517578125,-9.451219512195122,1.0670731707317074,1.3414634146341464,7,Drawer
