time,ax,ay,az,wx,wy,wz,activity Label,activity
0.0,-0.9398193359375,0.2816162109375,0.2359619140625,-1.1890243902439026,1.3719512195121952,-10.51829268292683,3,Knocking
0.001,-0.9471435546875,0.2491455078125,0.2396240234375,-1.4329268292682928,0.9756097560975611,-11.585365853658537,3,Knocking
0.001,-0.9468994140625,0.28271484375,0.2381591796875,-0.7621951219512195,0.06097560975609757,-4.298780487804878,3,Knocking
0.002,-0.9427490234375,0.288818359375,0.2626953125,-0.6402439024390244,-9.02439024390244,-5.670731707317073,3,Knocking
0.103,-0.9442138671875,0.2884521484375,0.2620849609375,-1.7378048780487807,-9.085365853658537,-6.829268292682928,3,Knocking
0.104,-0.9443359375,0.2886962890625,0.2620849609375,-2.408536585365854,-9.451219512195122,-15.823170731707318,3,Knocking
0.104,-0.9466552734375,0.292724609375,0.2559814453125,-2.5914634146341466,-10.060975609756099,-17.134146341463417,3,Knocking
0.107,-0.9310302734375,0.2926025390625,0.250732421875,2.7439024390243905,-9.939024390243903,-12.500000000000002,3,Knocking
0.108,-0.9771728515625,0.2906494140625,0.25341796875,1.524390243902439,-9.420731707317074,-14.29878048780488,3,Knocking
0.209,-1.0030517578125,0.2667236328125,0.25146484375,1.1585365853658538,-10.731707317073171,-24.29878048780488,3,Knocking
0.209,-1.013916015625,0.270751953125,0.2510986328125,-8.932926829268293,-4.237804878048781,-26.79878048780488,3,Knocking
0.21,-1.049560546875,0.2763671875,0.25048828125,-4.939024390243903,-4.75609756097561,-23.323170731707318,3,Knocking
0.21,-1.1363525390625,0.321533203125,0.2503662109375,-6.615853658536586,-5.365853658536586,-27.439024390243905,3,Knocking
0.21,-1.1705322265625,0.3260498046875,0.257568359375,-17.926829268292686,-7.408536585365854,-30.365853658536587,3,Knocking
0.212,-1.1754150390625,0.302490234375,0.2586669921875,-18.75,-19.32926829268293,-36.707317073170735,3,Knocking
0.314,-1.2239990234375,0.3077392578125,0.259033203125,-12.591463414634147,-14.02439024390244,-49.39024390243903,3,Knocking
0.315,-1.22607421875,0.347412109375,0.25927734375,-13.597560975609758,-25.457317073170735,-56.06707317073171,3,Knocking
0.315,-1.1851806640625,0.3470458984375,0.2630615234375,-25.152439024390247,-19.573170731707318,-51.951219512195124,3,Knocking
0.315,-1.1990966796875,0.297607421875,0.24609375,-22.77439024390244,-19.847560975609756,-54.268292682926834,3,Knocking
